model_id,model,vendor,surface_id,surface,counts_as,lifecycle,exposure,state_is_terminal,last_event,last_event_date,last_event_precision,known_as_of,model_superseded_by,open_questions
gpt-4-turbo,GPT-4 Turbo,OpenAI,openai-api,OpenAI API,,public_preview,not_applicable,false,openai-gpt4-turbo-2023-11-06,2023-11-06,day,2026-07-28,,0
gpt-4o,GPT-4o,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-gpt4o-retired-2025-08-06,2025-08-06,day,2026-07-28,,0
gpt-4o,GPT-4o,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,underlying,false,m365-gpt4o-wave2-2024-09-16,2024-09-16,day,2026-07-28,,0
gpt-4o,GPT-4o,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,public_preview,catalogue,false,azure-gpt4o-preview-2024-05-13,2024-05-13,day,2026-07-28,,4
gpt-4o,GPT-4o,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt4o-2024-05-13,2024-05-13,day,2026-07-28,,1
gpt-4o,GPT-4o,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,retired,default,true,studio-gpt4o-retired-2025-10-27,2025-10-27,day,2026-07-28,,1
gpt-5,GPT-5,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-ga-2025-09-09,2025-09-09,day,2026-07-28,,0
gpt-5,GPT-5,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-2025-08-07,2025-08-07,day,2026-07-28,,0
gpt-5,GPT-5,OpenAI,azure-ai-foundry,Azure AI Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-2025-08-07,2025-08-07,day,2026-07-28,,0
gpt-5,GPT-5,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-2025-08-07,2025-08-07,day,2026-07-28,,1
gpt-5,GPT-5,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,ga,selectable,false,studio-gpt5-ga-2026-03,2026-03,month,2026-07-28,,0
gpt-5-1,GPT-5.1,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-1-2025-11-12,2025-11-12,day,2026-07-28,,0
gpt-5-1,GPT-5.1,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-gpt5-1-2025-11-12,2025-11-12,day,2026-07-28,,0
gpt-5-2,GPT-5.2,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-2-2025-12-11,2025-12-11,day,2026-07-28,,0
gpt-5-2,GPT-5.2,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-2-2025-12-11,2025-12-11,day,2026-07-28,,0
gpt-5-2,GPT-5.2,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,ga,selectable,false,studio-gpt5-2-2025-12-11,2025-12-11,day,2026-07-28,,0
gpt-5-3-instant,GPT-5.3 Instant,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-3-instant-2026-03-03,2026-03-03,day,2026-07-28,,0
gpt-5-3-instant,GPT-5.3 Instant,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-3-instant-2026-03-03,2026-03-03,day,2026-07-28,,0
gpt-5-3-instant,GPT-5.3 Instant,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-gpt5-3-chat-2026-03-03,2026-03-03,day,2026-07-28,,0
gpt-5-4,GPT-5.4,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-4-thinking-2026-03-06,2026-03-06,day,2026-07-28,,0
gpt-5-4,GPT-5.4,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-4-2026-03-05,2026-03-05,day,2026-07-28,,0
gpt-5-4,GPT-5.4,OpenAI,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-gpt5-4-reasoning-2026-03-06,2026-03-06,day,2026-07-28,,0
gpt-5-5,GPT-5.5,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-5-ga-2026-04-24,2026-04-24,day,2026-07-28,,0
