model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,microsoft,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,github-claude3-5-sonnet-all-users-2024-11-01,2024-11-01,github-copilot,selectable,public_preview,133,133,exact
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,copilot,any_exposure,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,github-claude3-5-sonnet-all-users-2024-11-01,2024-11-01,github-copilot,selectable,public_preview,133,133,exact
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,copilot,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,github-claude3-5-sonnet-all-users-2024-11-01,2024-11-01,github-copilot,selectable,public_preview,133,133,exact
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,m365,any_exposure,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,m365,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,studio,any_exposure,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,studio,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,github_copilot,any_exposure,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,github-claude3-5-sonnet-all-users-2024-11-01,2024-11-01,github-copilot,selectable,public_preview,133,133,exact
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,github_copilot,selectable_or_default,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,github-claude3-5-sonnet-all-users-2024-11-01,2024-11-01,github-copilot,selectable,public_preview,133,133,exact
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,foundry,any_exposure,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,ga,,,,,,,,not_recorded
